Adel,M
adeleg,ADJ
adequat,ADJ
ADHS,M
adipös,ADJ
Adjektiv,S
Adjoint,M
Adjointe,W
Adjutant,M
Adjutantin,W
Adler,M
Administrateur,M
Administrateur,M
Administrateurin,W
Administratioun,W
administrativ,ADJ
Administratrice,W
administréieren,"VRB, HV hunn"
Admirol,M
Admirolin,W
Admissioun,W
adoptéieren,"VRB, HV hunn"
Adoptioun,W
Adoptivelteren,SUBST
Adoptivkand,S
Adrenalin,M
Adress,W
Adressebichelchen,S
adresséieren,"VRB, HV hunn"
ADS,M
Advent,M
Adventsdekoratioun,W
Adventskalenner,M
Adventskranz,M
Adventslidd,S
Adventsmaart,M
Adventssonndeg,M
Adverb,S
Aefaarf,W
Aemooss,W
Aemuskel,M
Aendeckel,M
Aendokter,M
Aendoktesch,W
Aendrëpsen,W
Aenzeien,M
Aenzeien,W
Äerbel,M
Äerd,W
Äerd,W
Äerdalkalimetall,S
Äerdatmosphär,W
Äerdbier,S
Äerdbiersgebeess,S
Äerdbiersgeschmaach,M
Äerdbiersglace,W
Äerdbiersgoût,M
Äerdbiersjughurt,M
Äerdbierskamell,W
Äerdbierslikör,M
Äerdbierslutsch,W
Äerdbierstaart,W
Äerdbiewegebitt,S
Äerdbiewen,S
Äerdbuedem,M
äerdeg,ADJ
äerden,"VRB, HV hunn"
Äerdgas,M
Äerdkugel,W
Äerdkuuscht,W
Äerdrutsch,M
Äermchen,M
Aerobic,M
äert,PRON
Äert,PRON
Äerz,S
Äerzbëschof,M
Äerzengel,M
Aessen,S
Aessen,S
Af,M
Afaart,W
afalen,"VRB, HV sinn"
afänken,"VRB, HV hunn"
afeg,ADJ
aféieren,"VRB, HV hunn"
Aféierung,W
afëllen,"VRB, HV hunn"
afen,"VRB, HV hunn"
Afenhëtzt,W
Afennoss,W
afetten,"VRB, HV hunn"
Affaire,W
Affär,W
Äffchen,M
Affectatioun,W
affectéieren,"VRB, HV hunn"
Affekot,M
Affekotin,W
Affekt,M
Affektatioun,W
affektéieren,"VRB, HV hunn"
Affer,S
Affer,M
afferen,"VRB, HV hunn"
Afferstack,M
Affichage,M
Affiche,W
affichéieren,"VRB, HV hunn"
Affiliatioun,W
affiliéieren,"VRB, HV hunn"
Affinitéit,W
Affirmatioun,W
affirméieren,"VRB, HV hunn"
Affront,M
affrontéiert,ADJ
Afghan,M
afghanesch,ADJ
Afghanin,W
Afghanistan,M
afléissen,"VRB, HV sinn"
Afloss,M
afréieren,"VRB, HV hunn"
afriessen,"VRB, HV hunn"
Afrika,S
Afrikaner,M
Afrikanerin,W
afrikanesch,ADJ
Afrikanesche Peelikan,M
Afrikanesche Pelikan,M
After,M
Aftershave,M
afügen,"VRB, HV hunn"
Agang,M
Agank,M
agebilt,ADJ
ageheien,"VRB, HV hunn"
ageholl,ADJ
agéieren,"VRB, HV hunn"
Agemaachtes,S
Agence,W
Agenda,MW
Agent,M
Agentin,W
ageschneit,ADJ
ageschriwwen,ADJ
agesinn,"VRB, HV hunn"
Ageständnes,S
Ageständnis,S
agestoen,"VRB, HV hunn"
Agglomeratioun,W
aggresséieren,"VRB, HV hunn"
Aggressioun,W
aggressiv,ADJ
Aggressivitéit,W
aginn,"VRB, HV hunn"
aglidderen,"VRB, HV hunn"
Agnostiker,M
Agnostikerin,W
agoen,"VRB, HV sinn"
Agonie,W
Agraff,W
agräifen,"VRB, HV hunn"
Agrarpolitik,W
Agrarsecteur,M
agreabel,ADJ
Agrëff,M
Agrement,M
agrenzen,"VRB, HV hunn"
agruewen,"VRB, HV hunn"
Ägypten,S
Ägypter,M
Ägypterin,W
ägyptesch,ADJ
anen,"VRB, HV hunn"
änlech,ADJ
Ahorn,M
Aide-soignant,M
Aide-soignante,W
Aids,M
Aidsbehandlung,W
Aidsberodung,W
Aidscampagne,W
aidskrank,ADJ
Aidsmedikament,S
Aidstest,M
Aidstherapie,W
Aierchen,W
Äifer,M
äifereg,ADJ
äifreg,ADJ
Airbag,M
Äis,S
äis,PRON
äis,PRON
Äisbier,M
Äisbierg,M
Äisch,W
Äischen,S
Äischen,S
Äischer,S
Äischer,S
Äisdaucher,M
äiseg,ADJ
äiser,PRON
Äisgang,M
Äisgank,M
Äishellegen,M
Äishockey,M
Äisint,W
äiskal,ADJ
Äiskonschtlaf,M
Äiskonschtleefer,M
Äiskonschtleeferin,W
Äispist,W
Äisschaf,M
Äisschicht,W
Äisvull,M
Äiswäin,M
Äiswierfel,M
Äiswürfel,M
Äiszäit,W
Ajoute,W
ajustéieren,"VRB, HV hunn"
akachen,"VRB, HV hunn"
akadeemesch,ADJ
Akadeemiker,M
Akadeemikerin,W
akademesch,ADJ
Akademie,W
Akademiker,M
Akademikerin,W
Akaf,M
akafen,"VRB, HV hunn"
Akafsbong,M
Akafskierfchen,M
Akafskuerf,M
Akafslëscht,W
Akafspräis,M
Akafsweenchen,M
Akafszenter,M
Akafsziedel,M
akalkuléieren,"VRB, HV hunn"
akasséieren,"VRB, HV hunn"
Akaul,W
akelleren,"VRB, HV hunn"
Akerbau,M
akeren,"VRB, HV hunn"
Akerland,S
Akescht,S
Akescht,S
Akkont,M
Akkord,M
Akkordeon,M
Akkordeonist,M
Akkordeonistin,W
Akkreditatioun,W
akkreditéieren,"VRB, HV hunn"
Akku,M
Akkusativ,M
Aklang,M
Aklank,M
aklappen,"VRB, HV hunn"
aklasséieren,"VRB, HV hunn"
akleeden,"VRB, HV hunn"
aklemmen,"VRB, HV hunn"
Akne,W
aknuppen,"VRB, HV sinn"
Akommes,S
Akraafttrieden,S
akrämpen,"VRB, HV hunn"
akreesen,"VRB, HV hunn"
akribesch,ADJ
Akribie,W
Akrobat,M
